SKU,ds,P10,P30,P50,P70,P90
ACC_CABLE_010,2026-09-04,126,250,336,421,545
ACC_CABLE_010,2026-09-05,355,488,579,671,804
ACC_CABLE_010,2026-09-06,341,483,579,676,817
ACC_CABLE_010,2026-09-07,89,237,339,441,590
ACC_CABLE_010,2026-09-08,81,238,345,451,608
ACC_CABLE_010,2026-09-09,69,232,344,455,619
ACC_CABLE_010,2026-09-10,73,243,359,475,645
ACC_CABLE_010,2026-09-11,72,248,368,489,665
ACC_CABLE_011,2026-08-29,570,624,660,697,751
ACC_CABLE_011,2026-08-30,533,609,660,712,788
ACC_CABLE_011,2026-08-31,239,332,396,459,552
ACC_CABLE_011,2026-09-01,208,316,389,462,570
ACC_CABLE_011,2026-09-02,197,317,399,481,601
ACC_CABLE_011,2026-09-03,175,306,396,486,617
ACC_CABLE_011,2026-09-04,161,303,400,498,640
ACC_CABLE_011,2026-09-05,405,557,660,764,916
ACC_CABLE_011,2026-09-06,389,550,660,771,932
ACC_CABLE_011,2026-09-07,94,263,379,496,665
ACC_CABLE_011,2026-09-08,88,266,387,509,687
ACC_CABLE_011,2026-09-09,84,270,397,524,710
ACC_CABLE_011,2026-09-10,77,270,402,535,728
ACC_CABLE_011,2026-09-11,65,266,404,541,742
ACC_CABLE_012,2026-08-29,449,491,520,550,592
ACC_CABLE_012,2026-08-30,419,479,520,562,622
ACC_CABLE_012,2026-08-31,188,261,312,362,436
ACC_CABLE_012,2026-09-01,168,253,311,370,455
ACC_CABLE_012,2026-09-02,155,250,315,380,475
ACC_CABLE_012,2026-09-03,136,240,311,382,486
ACC_CABLE_012,2026-09-04,127,240,317,394,506
ACC_CABLE_012,2026-09-05,318,438,520,603,723
ACC_CABLE_012,2026-09-06,306,433,520,608,735
ACC_CABLE_012,2026-09-07,96,231,323,415,549
ACC_CABLE_012,2026-09-08,81,222,318,415,556
ACC_CABLE_012,2026-09-09,66,214,314,415,563
ACC_CABLE_012,2026-09-10,52,205,310,415,568
ACC_CABLE_012,2026-09-11,43,202,311,420,579
ACC_CABLE_013,2026-08-29,395,432,457,482,519
ACC_CABLE_013,2026-08-30,369,421,457,493,545
ACC_CABLE_013,2026-08-31,162,226,270,313,377
ACC_CABLE_013,2026-09-01,152,226,276,327,400
ACC_CABLE_013,2026-09-02,129,211,268,324,407
ACC_CABLE_013,2026-09-03,121,211,273,335,425
ACC_CABLE_013,2026-09-04,110,207,274,341,438
ACC_CABLE_013,2026-09-05,281,386,457,528,632
ACC_CABLE_013,2026-09-06,271,381,457,533,643
ACC_CABLE_013,2026-09-07,72,188,268,348,464
ACC_CABLE_013,2026-09-08,68,190,274,357,480
ACC_CABLE_013,2026-09-09,50,177,265,352,480
ACC_CABLE_013,2026-09-10,42,175,265,356,489
ACC_CABLE_013,2026-09-11,35,172,267,361,499
ACC_CABLE_014,2026-08-29,267,292,309,326,352
ACC_CABLE_014,2026-08-30,249,285,309,334,369
ACC_CABLE_014,2026-08-31,106,150,180,210,254
ACC_CABLE_014,2026-09-01,100,151,186,220,271
ACC_CABLE_014,2026-09-02,90,147,185,224,280
ACC_CABLE_014,2026-09-03,82,144,186,228,290
ACC_CABLE_014,2026-09-04,85,152,198,244,311
ACC_CABLE_014,2026-09-05,189,260,309,358,430
ACC_CABLE_014,2026-09-06,181,257,309,361,437
ACC_CABLE_014,2026-09-07,52,132,186,241,321
ACC_CABLE_014,2026-09-08,45,128,186,243,327
ACC_CABLE_014,2026-09-09,35,122,182,242,330
ACC_CABLE_014,2026-09-10,30,121,183,246,337
ACC_CABLE_014,2026-09-11,36,131,195,260,355
ACC_CABLE_015,2026-08-29,665,727,769,812,873
ACC_CABLE_015,2026-08-30,622,709,769,829,917
ACC_CABLE_015,2026-08-31,262,370,443,516,623
ACC_CABLE_015,2026-09-01,244,367,452,536,660
ACC_CABLE_015,2026-09-02,222,360,454,549,687
ACC_CABLE_015,2026-09-03,188,339,443,547,698
ACC_CABLE_015,2026-09-04,173,337,449,561,724
ACC_CABLE_015,2026-09-05,475,650,769,889,1064
ACC_CABLE_015,2026-09-06,457,642,769,896,1082
ACC_CABLE_015,2026-09-07,120,316,449,583,779
ACC_CABLE_015,2026-09-08,117,322,462,603,808
ACC_CABLE_015,2026-09-09,90,304,450,597,811
ACC_CABLE_015,2026-09-10,78,301,453,606,829
ACC_CABLE_015,2026-09-11,69,300,459,617,848
ACC_CABLE_016,2026-08-29,412,451,477,504,542
ACC_CABLE_016,2026-08-30,385,440,477,515,569
ACC_CABLE_016,2026-08-31,162,229,275,320,387
ACC_CABLE_016,2026-09-01,156,233,286,339,416
ACC_CABLE_016,2026-09-02,140,226,286,345,431
ACC_CABLE_016,2026-09-03,125,220,285,349,444
ACC_CABLE_016,2026-09-04,118,220,290,360,462
ACC_CABLE_016,2026-09-05,293,403,477,552,661
ACC_CABLE_016,2026-09-06,282,398,477,557,673
ACC_CABLE_016,2026-09-07,82,204,287,371,493
ACC_CABLE_016,2026-09-08,67,196,283,371,499
ACC_CABLE_016,2026-09-09,57,191,283,374,508
ACC_CABLE_016,2026-09-10,48,187,283,378,517
ACC_CABLE_016,2026-09-11,35,180,279,378,522
ACC_CABLE_017,2026-08-29,282,308,326,344,371
ACC_CABLE_017,2026-08-30,263,301,326,352,389
ACC_CABLE_017,2026-08-31,111,157,188,220,265
ACC_CABLE_017,2026-09-01,106,159,195,232,285
ACC_CABLE_017,2026-09-02,94,154,194,235,294
ACC_CABLE_017,2026-09-03,87,152,196,241,306
ACC_CABLE_017,2026-09-04,78,148,196,244,314
ACC_CABLE_017,2026-09-05,200,275,326,377,452
ACC_CABLE_017,2026-09-06,192,272,326,381,460
ACC_CABLE_017,2026-09-07,54,138,195,252,336
ACC_CABLE_017,2026-09-08,45,133,193,253,341
ACC_CABLE_017,2026-09-09,39,130,193,256,348
ACC_CABLE_017,2026-09-10,35,131,196,261,357
ACC_CABLE_017,2026-09-11,33,132,200,268,367
ACC_CABLE_018,2026-08-29,704,771,816,862,929
ACC_CABLE_018,2026-08-30,657,752,816,881,975
ACC_CABLE_018,2026-08-31,289,405,484,563,678
ACC_CABLE_018,2026-09-01,267,401,492,583,717
ACC_CABLE_018,2026-09-02,241,390,492,594,743
ACC_CABLE_018,2026-09-03,220,384,496,607,771
ACC_CABLE_018,2026-09-04,206,383,503,624,800
ACC_CABLE_018,2026-09-05,499,687,816,945,1134
ACC_CABLE_018,2026-09-06,479,679,816,953,1153
ACC_CABLE_018,2026-09-07,129,340,485,629,840
ACC_CABLE_018,2026-09-08,127,348,500,651,872
ACC_CABLE_018,2026-09-09,105,336,494,652,883
ACC_CABLE_018,2026-09-10,85,326,490,655,895
ACC_CABLE_018,2026-09-11,68,317,488,659,908
ACC_CABLE_019,2026-08-29,635,695,736,777,837
ACC_CABLE_019,2026-08-30,594,678,736,794,878
ACC_CABLE_019,2026-08-31,261,365,435,506,610
ACC_CABLE_019,2026-09-01,242,361,443,525,644
ACC_CABLE_019,2026-09-02,213,346,438,529,663
ACC_CABLE_019,2026-09-03,184,331,431,531,677
ACC_CABLE_019,2026-09-04,174,332,440,549,707
ACC_CABLE_019,2026-09-05,451,620,736,852,1021
ACC_CABLE_019,2026-09-06,434,613,736,859,1038
ACC_CABLE_019,2026-09-07,125,314,444,573,762
ACC_CABLE_019,2026-09-08,105,303,439,574,772
ACC_CABLE_019,2026-09-09,98,305,447,588,795
ACC_CABLE_019,2026-09-10,79,295,442,590,805
ACC_CABLE_019,2026-09-11,60,283,436,589,813
ACC_CABLE_020,2026-08-29,623,683,724,765,824
ACC_CABLE_020,2026-08-30,582,666,724,781,866
ACC_CABLE_020,2026-08-31,264,367,438,508,612
ACC_CABLE_020,2026-09-01,238,357,439,520,639
ACC_CABLE_020,2026-09-02,214,347,438,529,662
ACC_CABLE_020,2026-09-03,184,330,430,530,676
ACC_CABLE_020,2026-09-04,167,324,432,540,698
ACC_CABLE_020,2026-09-05,440,608,724,839,1008
ACC_CABLE_020,2026-09-06,423,601,724,846,1025
ACC_CABLE_020,2026-09-07,144,333,462,591,779
ACC_CABLE_020,2026-09-08,108,306,441,576,774
ACC_CABLE_020,2026-09-09,85,291,432,573,780
ACC_CABLE_020,2026-09-10,75,290,437,584,799
ACC_CABLE_020,2026-09-11,99,322,475,627,850
ACC_CABLE_021,2026-08-29,412,451,478,504,543
ACC_CABLE_021,2026-08-30,385,440,478,515,570
ACC_CABLE_021,2026-08-31,173,240,286,332,399
ACC_CABLE_021,2026-09-01,159,236,289,342,420
ACC_CABLE_021,2026-09-02,138,224,284,343,430
ACC_CABLE_021,2026-09-03,121,216,281,346,441
ACC_CABLE_021,2026-09-04,114,217,287,358,460
ACC_CABLE_021,2026-09-05,293,402,478,553,662
ACC_CABLE_021,2026-09-06,281,398,478,557,674
ACC_CABLE_021,2026-09-07,90,213,297,381,504
ACC_CABLE_021,2026-09-08,64,193,281,369,498
ACC_CABLE_021,2026-09-09,56,191,283,375,509
ACC_CABLE_021,2026-09-10,52,192,287,383,523
ACC_CABLE_021,2026-09-11,36,182,281,380,526
ACC_CABLE_022,2026-08-29,281,308,326,344,371
ACC_CABLE_022,2026-08-30,263,300,326,352,389
ACC_CABLE_022,2026-08-31,111,157,188,220,266
ACC_CABLE_022,2026-09-01,106,158,195,231,284
ACC_CABLE_022,2026-09-02,92,151,191,232,291
ACC_CABLE_022,2026-09-03,83,148,192,237,302
ACC_CABLE_022,2026-09-04,75,145,193,241,311
ACC_CABLE_022,2026-09-05,200,275,326,377,452
ACC_CABLE_022,2026-09-06,192,272,326,380,460
ACC_CABLE_022,2026-09-07,58,142,199,257,340
ACC_CABLE_022,2026-09-08,49,137,197,257,345
ACC_CABLE_022,2026-09-09,41,133,196,259,350
ACC_CABLE_022,2026-09-10,33,128,193,259,354
ACC_CABLE_022,2026-09-11,35,134,202,270,369
ACC_CABLE_023,2026-08-29,674,738,781,824,888
ACC_CABLE_023,2026-08-30,630,720,781,842,932
ACC_CABLE_023,2026-08-31,283,392,467,542,652
ACC_CABLE_023,2026-09-01,248,374,461,548,674
ACC_CABLE_023,2026-09-02,220,361,458,555,696
ACC_CABLE_023,2026-09-03,204,359,465,571,726
ACC_CABLE_023,2026-09-04,189,356,471,586,753
ACC_CABLE_023,2026-09-05,479,659,781,904,1083
ACC_CABLE_023,2026-09-06,461,651,781,911,1101
ACC_CABLE_023,2026-09-07,124,324,461,598,798
ACC_CABLE_023,2026-09-08,108,318,462,605,815
ACC_CABLE_023,2026-09-09,94,313,463,613,833
ACC_CABLE_023,2026-09-10,84,312,468,625,853
ACC_CABLE_023,2026-09-11,75,312,474,636,873
ACC_CABLE_024,2026-08-29,661,722,764,806,867
ACC_CABLE_024,2026-08-30,619,705,764,823,910
ACC_CABLE_024,2026-08-31,257,363,436,508,614
ACC_CABLE_024,2026-09-01,241,363,447,531,653
ACC_CABLE_024,2026-09-02,215,352,446,539,676
ACC_CABLE_024,2026-09-03,190,340,443,545,695
ACC_CABLE_024,2026-09-04,178,340,450,561,723
ACC_CABLE_024,2026-09-05,473,646,764,883,1056
ACC_CABLE_024,2026-09-06,455,639,764,890,1073
ACC_CABLE_024,2026-09-07,126,320,452,585,778
ACC_CABLE_024,2026-09-08,112,315,454,593,796
ACC_CABLE_024,2026-09-09,93,304,449,594,806
ACC_CABLE_024,2026-09-10,70,290,441,592,813
ACC_CABLE_024,2026-09-11,52,281,438,594,823
ACC_CABLE_025,2026-08-29,684,747,789,832,895
ACC_CABLE_025,2026-08-30,640,729,789,850,939
ACC_CABLE_025,2026-08-31,257,366,440,514,623
ACC_CABLE_025,2026-09-01,247,372,458,544,669
ACC_CABLE_025,2026-09-02,216,356,452,548,688
ACC_CABLE_025,2026-09-03,201,355,460,565,718
ACC_CABLE_025,2026-09-04,180,346,459,573,739
ACC_CABLE_025,2026-09-05,491,668,789,911,1088
ACC_CABLE_025,2026-09-06,473,661,789,918,1106
ACC_CABLE_025,2026-09-07,107,305,441,576,775
ACC_CABLE_025,2026-09-08,104,312,454,597,805
ACC_CABLE_025,2026-09-09,93,310,459,607,824
ACC_CABLE_025,2026-09-10,80,306,460,615,841
ACC_CABLE_025,2026-09-11,62,296,457,617,852
ACC_CABLE_026,2026-08-29,308,338,358,378,407
ACC_CABLE_026,2026-08-30,288,329,358,386,428
ACC_CABLE_026,2026-08-31,131,182,216,251,302
ACC_CABLE_026,2026-09-01,118,177,217,257,316
ACC_CABLE_026,2026-09-02,104,169,214,259,325
ACC_CABLE_026,2026-09-03,95,167,216,265,337
ACC_CABLE_026,2026-09-04,87,165,218,271,349
ACC_CABLE_026,2026-09-05,218,301,358,415,498
ACC_CABLE_026,2026-09-06,209,297,358,418,506
ACC_CABLE_026,2026-09-07,64,157,220,284,377
ACC_CABLE_026,2026-09-08,52,149,216,282,380
ACC_CABLE_026,2026-09-09,46,148,217,287,388
ACC_CABLE_026,2026-09-10,33,139,212,284,390
ACC_CABLE_026,2026-09-11,43,153,228,303,413
ACC_CABLE_027,2026-08-29,446,488,516,545,586
ACC_CABLE_027,2026-08-30,418,476,516,556,615
ACC_CABLE_027,2026-08-31,178,250,299,348,420
ACC_CABLE_027,2026-09-01,168,251,308,365,447
ACC_CABLE_027,2026-09-02,148,241,304,368,461
ACC_CABLE_027,2026-09-03,127,228,298,367,469
ACC_CABLE_027,2026-09-04,121,231,306,381,491
ACC_CABLE_027,2026-09-05,319,436,516,596,714
ACC_CABLE_027,2026-09-06,307,431,516,601,726
ACC_CABLE_027,2026-09-07,82,213,303,393,524
ACC_CABLE_027,2026-09-08,67,205,299,393,530
ACC_CABLE_027,2026-09-09,60,203,301,400,543
ACC_CABLE_027,2026-09-10,44,193,296,398,547
ACC_CABLE_027,2026-09-11,49,204,310,416,571
ACC_CABLE_028,2026-08-29,327,358,379,401,432
ACC_CABLE_028,2026-08-30,305,349,379,410,454
ACC_CABLE_028,2026-08-31,135,189,226,263,317
ACC_CABLE_028,2026-09-01,127,189,232,275,337
ACC_CABLE_028,2026-09-02,113,183,231,278,348
ACC_CABLE_028,2026-09-03,102,178,230,283,359
ACC_CABLE_028,2026-09-04,98,181,237,293,376
ACC_CABLE_028,2026-09-05,231,319,379,440,528
ACC_CABLE_028,2026-09-06,222,315,379,443,537
ACC_CABLE_028,2026-09-07,60,158,226,293,392
ACC_CABLE_028,2026-09-08,56,160,230,301,405
ACC_CABLE_028,2026-09-09,48,156,230,304,412
ACC_CABLE_028,2026-09-10,39,152,229,305,418
ACC_CABLE_028,2026-09-11,45,161,241,321,437
ACC_CABLE_029,2026-08-29,668,730,773,816,879
ACC_CABLE_029,2026-08-30,624,713,773,834,923
ACC_CABLE_029,2026-08-31,271,379,454,528,637
ACC_CABLE_029,2026-09-01,246,371,457,543,669
ACC_CABLE_029,2026-09-02,223,364,460,556,696
ACC_CABLE_029,2026-09-03,197,351,456,561,715
ACC_CABLE_029,2026-09-04,199,365,479,592,758
ACC_CABLE_029,2026-09-05,474,652,773,895,1072
ACC_CABLE_029,2026-09-06,456,644,773,902,1090
ACC_CABLE_029,2026-09-07,132,330,466,602,800
ACC_CABLE_029,2026-09-08,111,319,461,603,812
ACC_CABLE_029,2026-09-09,89,306,455,603,821
ACC_CABLE_029,2026-09-10,75,301,456,611,837
ACC_CABLE_029,2026-09-11,73,308,469,629,864
ACC_CABLE_030,2026-08-29,274,299,317,334,360
ACC_CABLE_030,2026-08-30,256,292,317,342,378
ACC_CABLE_030,2026-08-31,115,159,190,220,264
ACC_CABLE_030,2026-09-01,102,153,188,223,274
ACC_CABLE_030,2026-09-02,94,151,190,229,287
ACC_CABLE_030,2026-09-03,79,142,185,228,290
ACC_CABLE_030,2026-09-04,73,140,187,233,300
ACC_CABLE_030,2026-09-05,195,267,317,366,439
ACC_CABLE_030,2026-09-06,188,264,317,369,446
ACC_CABLE_030,2026-09-07,48,129,184,239,320
ACC_CABLE_030,2026-09-08,46,131,189,247,332
ACC_CABLE_030,2026-09-09,38,127,187,248,337
ACC_CABLE_030,2026-09-10,31,123,186,249,341
ACC_CABLE_030,2026-09-11,26,121,187,252,348
ACC_CABLE_031,2026-08-29,703,768,813,857,922
ACC_CABLE_031,2026-08-30,657,749,813,876,968
ACC_CABLE_031,2026-08-31,278,391,468,545,658
ACC_CABLE_031,2026-09-01,261,392,481,570,701
ACC_CABLE_031,2026-09-02,229,375,475,574,720
ACC_CABLE_031,2026-09-03,199,359,468,577,737
ACC_CABLE_031,2026-09-04,198,370,488,606,779
ACC_CABLE_031,2026-09-05,502,686,813,939,1123
ACC_CABLE_031,2026-09-06,483,679,813,946,1142
ACC_CABLE_031,2026-09-07,131,337,479,620,826
ACC_CABLE_031,2026-09-08,114,330,478,626,842
ACC_CABLE_031,2026-09-09,93,319,473,628,853
ACC_CABLE_031,2026-09-10,80,315,476,637,872
ACC_CABLE_031,2026-09-11,60,304,471,638,882
ACC_CABLE_032,2026-08-29,386,423,448,473,509
ACC_CABLE_032,2026-08-30,361,412,448,483,535
ACC_CABLE_032,2026-08-31,160,223,267,310,373
ACC_CABLE_032,2026-09-01,146,219,269,319,392
ACC_CABLE_032,2026-09-02,135,217,272,328,410
ACC_CABLE_032,2026-09-03,115,205,266,327,417
ACC_CABLE_032,2026-09-04,114,211,277,343,440
ACC_CABLE_032,2026-09-05,274,377,448,518,622
ACC_CABLE_032,2026-09-06,263,373,448,523,632
ACC_CABLE_032,2026-09-07,71,187,266,345,460
ACC_CABLE_032,2026-09-08,65,186,269,352,473
ACC_CABLE_032,2026-09-09,56,182,269,355,482
ACC_CABLE_032,2026-09-10,44,176,266,356,488
ACC_CABLE_032,2026-09-11,41,178,272,365,502
ACC_CABLE_033,2026-08-29,438,478,505,533,572
ACC_CABLE_033,2026-08-30,410,467,505,544,600
ACC_CABLE_033,2026-08-31,175,244,291,339,408
ACC_CABLE_033,2026-09-01,152,232,286,341,421
ACC_CABLE_033,2026-09-02,136,225,286,347,436
ACC_CABLE_033,2026-09-03,116,214,281,348,445
ACC_CABLE_033,2026-09-04,116,221,293,366,471
ACC_CABLE_033,2026-09-05,315,428,505,583,695
ACC_CABLE_033,2026-09-06,304,423,505,587,707
ACC_CABLE_033,2026-09-07,83,209,296,382,508
ACC_CABLE_033,2026-09-08,67,199,290,380,513
ACC_CABLE_033,2026-09-09,57,195,289,384,522
ACC_CABLE_033,2026-09-10,43,187,286,384,528
ACC_CABLE_033,2026-09-11,29,178,280,382,532
ACC_CABLE_034,2026-08-29,375,411,435,459,495
ACC_CABLE_034,2026-08-30,350,401,435,470,520
ACC_CABLE_034,2026-08-31,159,221,263,306,367
ACC_CABLE_034,2026-09-01,141,212,261,310,381
ACC_CABLE_034,2026-09-02,126,205,260,314,394
ACC_CABLE_034,2026-09-03,114,201,261,321,408
ACC_CABLE_034,2026-09-04,101,195,260,324,418
ACC_CABLE_034,2026-09-05,265,366,435,504,605
ACC_CABLE_034,2026-09-06,255,362,435,508,615
ACC_CABLE_034,2026-09-07,89,202,279,356,469
ACC_CABLE_034,2026-09-08,65,183,264,345,463
ACC_CABLE_034,2026-09-09,56,179,263,348,471
ACC_CABLE_034,2026-09-10,46,175,262,350,479
ACC_CABLE_034,2026-09-11,34,167,258,349,482
ACC_CABLE_035,2026-08-29,275,302,320,338,364
ACC_CABLE_035,2026-08-30,256,294,320,345,383
ACC_CABLE_035,2026-08-31,116,162,194,225,271
ACC_CABLE_035,2026-09-01,109,162,199,235,288
ACC_CABLE_035,2026-09-02,98,157,198,238,298
ACC_CABLE_035,2026-09-03,88,153,197,242,307
ACC_CABLE_035,2026-09-04,84,154,202,250,321
ACC_CABLE_035,2026-09-05,193,268,320,371,446
ACC_CABLE_035,2026-09-06,186,265,320,374,454
ACC_CABLE_035,2026-09-07,61,145,202,260,344
ACC_CABLE_035,2026-09-08,50,138,198,258,346
ACC_CABLE_035,2026-09-09,40,132,195,258,350
ACC_CABLE_035,2026-09-10,34,130,196,261,357
ACC_CABLE_035,2026-09-11,33,132,200,268,367
ACC_CABLE_036,2026-08-29,282,310,328,347,374
ACC_CABLE_036,2026-08-30,264,302,328,354,392
ACC_CABLE_036,2026-08-31,126,173,205,237,284
ACC_CABLE_036,2026-09-01,108,162,199,236,290
ACC_CABLE_036,2026-09-02,100,160,202,243,303
ACC_CABLE_036,2026-09-03,86,152,197,243,309
ACC_CABLE_036,2026-09-04,84,156,205,253,325
